corrdor_margin_perc,min_margin_perc,max_margin_perc,rpm,Count_Corridor,OriginCluster,corridor
18.36798117,-19.0844562,55.03097108,3.177506517,90,Newark Region,Newark Region-Baltimore Region
17.02160808,-44.7364189,46.875,2.877763911,90,Milwaukee Region,Milwaukee Region-Detroit Region
-8.997782582,-61.96954972,54.2784305,4.241553441,90,Atlanta Region,Atlanta Region-Montgomery AL Region
14.17647056,-43.39215223,64.87924438,2.372363958,89,Cincinnati Region,Cincinnati Region-Milwaukee Region
6.317197425,-60.18848745,60.17355265,2.696856408,89,Saint Louis Region,Saint Louis Region-Milwaukee Region
13.37918237,-20.9412129,47.5119674,2.15976392,87,Saint Louis Region,Saint Louis Region-San Antonio Region
8.209432386,-39.69211857,64.70524107,3.135259002,87,Ontario CA Region,Ontario CA Region-Fresno CA Region
7.088995975,-48.57142857,53.76852399,3.24287385,87,Tracy Region,Tracy Region-Portland OR Region
18.4484433,-33.50540697,63.99373067,5.307455657,87,Atlanta Region,Atlanta Region-Central GA Region
3.029516114,-62.10082671,48.97499775,3.251540995,86,Atlanta Region,Atlanta Region-Nashville Region
27.1949931,-5.788968523,52.91703689,2.228605733,86,West OH Region,West OH Region-Atlanta Region
16.37252114,-29.17671374,64.9737303,4.153381313,86,York PA Region,York PA Region-Elizabeth Region
-1.750107229,-55.97785115,35.18640803,3.2060169,86,Ontario CA Region,Ontario CA Region-Spokane Region
21.7207484,-31.14754098,64.9735627,3.319146676,86,Portland OR Region,Portland OR Region-Seattle Region
14.599406,-46.69448429,62.16708911,4.053703379,85,Chicago Region,Chicago Region-Fort Wayne Region
23.18096598,-4.648485736,56.09909062,4.086421057,85,Hazleton PA Region,Hazleton PA Region-Baltimore Region
15.43784961,-25.40225775,41.58175976,2.405448571,84,Memphis Region,Memphis Region-San Antonio Region
32.1107007,-1.694915254,64.16926439,1.867445016,84,Chicago Region,Chicago Region-Miami Region
22.60921479,-23.61346892,49.15282965,2.286108681,84,Cincinnati Region,Cincinnati Region-Atlanta Region
1.84817627,-62.46367132,43.75,2.151116401,84,Atlanta Region,Atlanta Region-Chicago Region
8.893924278,-61.4205004,50.34808683,2.343156724,84,Central LA Region,Central LA Region-Dallas Region
23.50540999,-7.984072474,43.75,2.520109409,83,Milwaukee Region,Milwaukee Region-Cincinnati Region
12.43329354,-29.38351344,35.37694249,2.453573412,83,Milwaukee Region,Milwaukee Region-Saint Louis Region
14.58226037,-63.10552928,56.83105401,3.197381301,83,Indianapolis Region,Indianapolis Region-Chicago Region
0.524664757,-40.48405156,28.84304483,2.394627387,83,Tracy Region,Tracy Region-Las Vegas Region
7.157588913,-61.77739431,53.41888823,1.362552462,82,Tampa Region,Tampa Region-Atlanta Region
10.41089436,-61.7643094,53.09128436,3.867992426,82,Seattle Region,Seattle Region-Seattle Region
